indv,genotype,treatment,group
AHQF1i_LD_21ReadsPerGene.out.tab,AHQF1i,LD,AHQF1i_LD
AHQF1i_LD_6ReadsPerGene.out.tab,AHQF1i,LD,AHQF1i_LD
AHQF1i_SD_10ReadsPerGene.out.tab,AHQF1i,SD,AHQF1i_SD
AHQF1i_SD_19ReadsPerGene.out.tab,AHQF1i,SD,AHQF1i_SD
AHQF1i_SD_19ReadsPerGene.out.txt,AHQF1i,SD,AHQF1i_SD
AHQF1x_LD_28ReadsPerGene.out.tab,AHQF1x,LD,AHQF1x_LD
AHQF1x_LD_30ReadsPerGene.out.tab,AHQF1x,LD,AHQF1x_LD
AHQF1x_LD_31ReadsPerGene.out.tab,AHQF1x,LD,AHQF1x_LD
AHQF1X_SD_29ReadsPerGene.out.tab,AHQF1x,SD,AHQF1x_SD
AHQF1x_SD_32ReadsPerGene.out.tab,AHQF1x,SD,AHQF1x_SD
AHQF1x_SD_33ReadsPerGene.out.tab,AHQF1x,SD,AHQF1x_SD
AHQN_LD_16ReadsPerGene.out.tab,AHQN,LD,AHQN_LD
AHQN_LD_20ReadsPerGene.out.tab,AHQN,LD,AHQN_LD
AHQN_LD_24ReadsPerGene.out.tab,AHQN,LD,AHQN_LD
AHQN_LD_5ReadsPerGene.out.tab,AHQN,LD,AHQN_LD
AHQT_LD_17ReadsPerGene.out.tab,AHQT,LD,AHQT_LD
AHQT_LD_22ReadsPerGene.out.tab,AHQT,LD,AHQT_LD
AHQT_LD_7ReadsPerGene.out.tab,AHQT,LD,AHQT_LD
AHQT_LD_8ReadsPerGene.out.tab,AHQT,LD,AHQT_LD
AHQT_SD_18ReadsPerGene.out.tab,AHQT,SD,AHQT_SD
AHQT_SD_23ReadsPerGene.out.tab,AHQT,SD,AHQT_SD
AHQT_SD_25ReadsPerGene.out.tab,AHQT,SD,AHQT_SD